Site,Mass,Species
1,1.780487805,CarexStricta
2,340.2195122,CarexStricta
3,10.26829268,CarexStricta
4,100.5853659,CarexStricta
5,85.56097561,CarexStricta
6,69.14634146,CarexStricta
7,205.6341463,CarexStricta
8,44.82926829,CarexStricta
9,83.92682927,CarexStricta
10,68.87804878,CarexStricta
11,52.41463415,CarexStricta
12,135.5365854,CarexStricta
13,86.04878049,CarexStricta
14,93.24390244,CarexStricta
15,192.2195122,CarexStricta
16,350.1463415,CarexStricta
17,22.04878049,CarexStricta
18,112.6585366,CarexStricta
19,17.7804878,CarexStricta
20,3.170731707,CarexStricta
21,149.3902439,ScripusCyperinus
22,118.5365854,ScripusCyperinus
23,7.12195122,ScripusCyperinus
24,229.097561,ScripusCyperinus
25,4.414634146,ScripusCyperinus
26,248.6097561,ScripusCyperinus
27,337.4146341,ScripusCyperinus
28,632.8536585,ScripusCyperinus
29,11.31707317,ScripusCyperinus
30,0,ScripusCyperinus
31,15.29268293,ScripusCyperinus
32,185.9756098,ScripusCyperinus
33,1.390243902,ScripusCyperinus
34,539.9512195,ScripusCyperinus
35,170.2926829,ScripusCyperinus
36,30.90243902,ScripusCyperinus
37,0,ScripusCyperinus
38,15.04878049,ScripusCyperinus
39,0,ScripusCyperinus
40,27.29268293,ScripusCyperinus
41,6.12195122,OnocleaSensibilis
42,0.243902439,OnocleaSensibilis
43,1.195121951,OnocleaSensibilis
44,0,OnocleaSensibilis
45,3.243902439,OnocleaSensibilis
46,0.243902439,OnocleaSensibilis
47,0,OnocleaSensibilis
48,0,OnocleaSensibilis
49,0,OnocleaSensibilis
50,1.195121951,OnocleaSensibilis
51,1.487804878,OnocleaSensibilis
52,0,OnocleaSensibilis
53,0,OnocleaSensibilis
54,1.585365854,OnocleaSensibilis
55,1.048780488,OnocleaSensibilis
56,7.12195122,OnocleaSensibilis
57,4.268292683,OnocleaSensibilis
58,3.146341463,OnocleaSensibilis
59,0.731707317,OnocleaSensibilis
60,6.682926829,OnocleaSensibilis
61,12.36585366,OsmundaCinnamomea
62,0,OsmundaCinnamomea
63,0,OsmundaCinnamomea
64,0,OsmundaCinnamomea
65,11.31707317,OsmundaCinnamomea
66,15.53658537,OsmundaCinnamomea
67,0,OsmundaCinnamomea
68,0,OsmundaCinnamomea
69,5.341463415,OsmundaCinnamomea
70,0,OsmundaCinnamomea
71,1.292682927,OsmundaCinnamomea
72,0,OsmundaCinnamomea
73,0,OsmundaCinnamomea
74,0,OsmundaCinnamomea
75,0,OsmundaCinnamomea
76,3.073170732,OsmundaCinnamomea
77,3.609756098,OsmundaCinnamomea
78,0.341463415,OsmundaCinnamomea
79,0,OsmundaCinnamomea
80,0,OsmundaCinnamomea
81,392.6097561,EleocharisPalustris
82,26.14634146,EleocharisPalustris
83,166.0243902,EleocharisPalustris
84,242.6097561,EleocharisPalustris
85,175.195122,EleocharisPalustris
86,0,EleocharisPalustris
87,203.7804878,EleocharisPalustris
88,203.0487805,EleocharisPalustris
89,149.6829268,EleocharisPalustris
90,40.04878049,EleocharisPalustris
91,5.292682927,EleocharisPalustris
92,250.3170732,EleocharisPalustris
93,174.9512195,EleocharisPalustris
94,0,EleocharisPalustris
95,196.7317073,EleocharisPalustris
96,330.0243902,EleocharisPalustris
97,0,EleocharisPalustris
98,410.2195122,EleocharisPalustris
99,91,EleocharisPalustris
100,70.70731707,EleocharisPalustris
101,287.2439024,EleocharisPalustris
102,294.8292683,EleocharisPalustris
103,24.26829268,EleocharisPalustris
104,0,EleocharisPalustris
105,0,EleocharisPalustris
106,13.12195122,JuncusEffusus
107,14.85365854,JuncusEffusus
108,1.390243902,JuncusEffusus
109,5.317073171,JuncusEffusus
110,100.5609756,JuncusEffusus
111,43.73170732,JuncusEffusus
112,5.097560976,JuncusEffusus
113,45.80487805,JuncusEffusus
114,239.0243902,JuncusEffusus
115,104.2195122,JuncusEffusus
116,1.268292683,JuncusEffusus
117,0.536585366,JuncusEffusus
118,62.53658537,JuncusEffusus
119,0,JuncusEffusus
120,239.804878,JuncusEffusus
121,366.0487805,JuncusEffusus
122,0,JuncusEffusus
123,132.2926829,JuncusEffusus
124,170.4878049,JuncusEffusus