"node","M","N","kingdom","phylum","class","order","family","genus","species"
"Nostoc sp.",7.97e-13,2e+06,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Nostoc",""
"Arthrodesmus sp.",1.52e-12,4.9e+07,"Plantae","Charophyta","Zygnematophyceae","Desmidiales","Desmidiaceae","Arthrodesmus",""
"Asterionella formosa",1.12e-12,5e+06,"Chromista","Ochrophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Asterionella","formosa"
"Cryptomonas sp. 1",2.03e-13,6.4e+07,"Chromista","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas",""
"Cryptomonas sp. 2",1.51e-12,2.8e+07,"Chromista","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas",""
"Chroococcus dispersus",2.39e-13,2e+07,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae","Chroococcus","dispersus"
"Closteriopsis longissimus",2.37e-13,1e+08,"Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Closteriopsis","longissimus"
"Chrysosphaerella longispina",8.31e-10,4e+06,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Paraphysomonadaceae","Chrysosphaerella","longispina"
"Dinobryon bavaricum",2.44e-12,3e+07,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","bavaricum"
"Dinobryon cylindricum",1.57e-12,3e+06,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","cylindricum"
"Dactylococcopsis fascicularis",1.32e-13,4.6e+07,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae","Dactylococcopsis","fascicularis"
"Diceras sp.",1.53e-13,1.4e+07,"Chromista","Ochrophyta","Chrysophyceae","Hibberdiales","Stylococcaceae","Diceras",""
"Dictyosphaerium pulchellum",5.07e-13,1.3e+07,"Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Dictyosphaerium","pulchellum"
"Dinobryon sertularia",1.52e-11,2e+06,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","sertularia"
"Dinobryon sociale",6.41e-13,2.8e+07,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","sociale"
"Glenodinium quadridens",7.54e-12,6.7e+07,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Glenodinium","quadridens"
"Microcystis aeruginosa",1.62e-11,1.3e+07,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","aeruginosa"
"Mallomonas sp. 1",1.03e-12,1.9e+07,"Chromista","Ochrophyta","Synurophyceae","Synurales","Mallomonadaceae","Mallomonas",""
"Mallomonas sp. 2",1.41e-12,22700000,"Chromista","Ochrophyta","Synurophyceae","Synurales","Mallomonadaceae","Mallomonas",""
"Unclassified flagellates",3.46e-13,1.88e+09,"","","","","","",""
"Peridinium limbatum",6.46e-11,1.7e+07,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","limbatum"
"Peridinium cinctum",4.06e-11,8e+06,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","cinctum"
"Peridinium pulsillum",1.58e-12,1.23e+08,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","pulsillum"
"Peridinium wisconsinense",3.56e-11,1.4e+07,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","wisconsinense"
"Chromulina sp.",3.03e-14,1.49e+08,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Chromulinaceae","Chromulina",""
"Rhizosolenia sp.",6.86e-13,5.6e+07,"Chromista","Ochrophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia",""
"Selenastrum minutum",2.72e-13,2e+08,"Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Selenastrum","minutum"
"Spinocosmarium sp.",3.71e-12,2e+06,"Plantae","Charophyta","Zygnematophyceae","Desmidiales","Desmidiaceae","Spinocosmarium",""
"Staurastrum sp.",4.3e-12,9e+06,"Plantae","Charophyta","Zygnematophyceae","Desmidiales","Desmidiaceae","Staurastrum",""
"Synedra sp.",9.19e-11,1e+06,"Chromista","Ochrophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Synedra",""
"Trachelomonas sp.",1.75e-13,2.22e+08,"Protozoa","Euglenozoa","Euglenophyceae","Euglenales","Euglenaceae","Trachelomonas",""
"Ascomorpha eucadis",1.4e-10,13800,"Animalia","Rotifera","Monogonata","Ploima","Gastropodidae","Ascomorpha","eucadis"
"Synchaeta sp.",9.5e-10,30000,"Animalia","Rotifera","Monogonata","Ploima","Synchaetidae","Synchaeta",""
"Bosmina longirostris",1.55e-09,155000,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Bosminidae","Bosmina","longirostris"
"Conochilus (solitary)",3.5e-11,36000,"Animalia","Rotifera","Monogonata","Flosculariaceae","Conochilidae","Conochilus",""
"Cyclops varians rubellus",2.04e-08,7800,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Cyclops","varians"
"Diaphanosoma leuchtenbergianum",2.24e-09,14400,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Sididae","Diaphanosoma","leuchtenbergianum"
"Daphnia pulex",5.8e-08,1800,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae","Daphnia","pulex"
"Filinia longispina",1.8e-10,2400,"Animalia","Rotifera","Monogonata","Flosculariaceae","Filiniidae","Filinia","longispina"
"Conochiloides dossuarius",1.6e-10,235000,"Animalia","Rotifera","Monogonata","Flosculariaceae","Conochilidae","Conochiloides","dossuarius"
"Gastropus stylifer",1.35e-10,35400,"Animalia","Rotifera","Monogonata","Ploima","Gastropodidae","Gastropus","stylifer"
"Holopedium gibberum",8.75e-08,600,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Holopediidae","Holopedium","gibberum"
"Kellicottia sp.",2e-11,256000,"Animalia","Rotifera","Monogonata","Ploima","Brachionidae","Kellicottia",""
"Keratella cochlearis",1e-11,427000,"Animalia","Rotifera","Monogonata","Ploima","Brachionidae","Keratella","cochlearis"
"Keratella testudo",1e-11,6000,"Animalia","Rotifera","Monogonata","Ploima","Brachionidae","Keratella","testudo"
"Leptodiaptomus siciloides",8.8e-09,2400,"Animalia","Arthropoda","Maxillopoda","Calanoida","Diaptomidae","Leptodiaptomus","siciloides"
"Orthocyclops modestus",2.29e-08,22800,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Orthocyclops","modestus"
"Ploesoma sp.",1.05e-10,55800,"Animalia","Rotifera","Monogonata","Ploima","Synchaetidae","Ploesoma",""
"Polyarthra vulgaris",4.65e-10,376000,"Animalia","Rotifera","Monogonata","Ploima","Synchaetidae","Polyarthra","vulgaris"
"Trichocerca multicrinis",2.5e-10,46800,"Animalia","Rotifera","Monogonata","Ploima","Trichocercidae","Trichocerca","multicrinis"
"Trichocerca cylindrica",3.8e-10,81600,"Animalia","Rotifera","Monogonata","Ploima","Trichocercidae","Trichocerca","cylindrica"
"Tropocyclops prasinus",6.85e-09,49200,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Tropocyclops","prasinus"
"Chaoborus punctipennis",3e-07,12000,"Animalia","Arthropoda","Insecta","Diptera","Chaoboridae","Chaoborus","punctipennis"
"Phoxinus eos",0.00101,1.97,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Phoxinus","eos"
"Phoxinus neogaeus",0.00117,0.133,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Phoxinus","neogaeus"
"Umbra limi",0.00129,0.132,"Animalia","Chordata","Actinopterygii","Esociformes","Umbridae","Umbra","limi"
